source_id,source_type,relation,target_id,target_type,repo,metadata
github:javache,AUTHOR,authored_commit,44ac8c26c2b187f69985e30bd336319ea9ff364f,COMMIT,facebook/react-native,
github:sammy-sc,AUTHOR,authored_commit,d39d5d8734ba9472965deb22f5d47588fe6f7d46,COMMIT,facebook/react-native,
github:panagosg7,AUTHOR,authored_commit,2a63938c1ba67a0b42bde01d8709e45267461f33,COMMIT,facebook/react-native,
github:zeyap,AUTHOR,authored_commit,55248b3deb8f3a9f663f9d5bcc2f1abee61095b7,COMMIT,facebook/react-native,
github:mvitousek,AUTHOR,authored_commit,af0ccccda7e85727de408c5f01ee9d9071a90f77,COMMIT,facebook/react-native,
email:a11a023f2b7c17023287abe56ea3b6f51a6e4c84d42b9b4e0ef2f4eb3b47c83d,AUTHOR,authored_commit,3a2d5a276c638189c5d28346b54850630d6ab544,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,af62dfa754422f42fdc9b7fd8ed33f6bea9d4688,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,972a30db4ce19609dddc8553afc2c2c2844e5442,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,d3b33f5e786dd9900e6d2c4208843f29970e870a,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,d309cdacc107e69edee165aca926d3c4dae97171,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,321afe690ad6d1277c5dc3e18ad1dc4f381dcc15,COMMIT,facebook/react-native,
github:sammy-sc,AUTHOR,authored_commit,ebb2feed6794574a88739fe4563374f0f38ae891,COMMIT,facebook/react-native,
github:sammy-sc,AUTHOR,authored_commit,de82d61f3b0c55a0af1d5e982378fa1089794576,COMMIT,facebook/react-native,
github:chicio,AUTHOR,authored_commit,5c9a5717c1a4d035a5059c3b6d53beb2a2b95ad6,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,c625015c6f05156813b80f613e2a36e21e4db0fc,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,150377caf0caee41f2e0efc76544e18f3a285836,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,4e1a8777ba6fd258390e0f7c8fc11bf42e5a14a8,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,d177839a247c75acd892779c4f9144fe15f5f745,COMMIT,facebook/react-native,
email:fa0367ad94ad8fe45bae6b99e8a1edb6abf0b08e6e1f3155bae4e12151a83ea0,AUTHOR,authored_commit,116ea5955c374b1b6f2e62a47f194add96470081,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,c26a4875eaaf3dcf9a6f28ac87df0a07a1cf4b37,COMMIT,facebook/react-native,
github:chicio,AUTHOR,authored_commit,8fbf2fab47b9675f99fed7ee881636da5333bf55,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,f1ac82ca93b247af7d393a58f6da1691932f69d5,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,a5daece0b37e681c849842f2028b8cd45433f4f9,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,7425a5f9c628ea3e35f08c59ca82d63db62927a7,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,94f40e7591b2cd7431a98f5f507bc9c95936f4af,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,7f6790bf79529a3a317995fb7e6d34a5738d616e,COMMIT,facebook/react-native,
github:andrewdacenko,AUTHOR,authored_commit,63800af9438ea9ddaec84b6f17793a4f1bffe342,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,4f0bd0ee934ae62c319a637d374454a64ac1e2be,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,665b80113f0d47e648560b16f27b392781456910,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,831e5fd5a66a6e7e3806b007df82c7747746562f,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,ec86b73b5290119544a6843d581fd1d8d50e2809,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,251fb11a2f844f8bfe8ab1aba975d770a178f452,COMMIT,facebook/react-native,
github:cipolleschi,AUTHOR,authored_commit,753e0ad9b3baf08b743c3e0e1648bab7d5599f7e,COMMIT,facebook/react-native,
github:seantarzy,AUTHOR,authored_commit,189f5f9c9b240105981a17a5810209d51eb47c4f,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,2ae6c8940dda8e7523d5f7f6ffb6c1a3b361a19e,COMMIT,facebook/react-native,
github:lukeharvey,AUTHOR,authored_commit,19350b1c8c5c8390368f90dbc1f3ab78743bfe2e,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,9d231af648a9355f94b296944f36a8f52b7b08c7,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,e99f8f944bdb101ca69bf5e18b393f28209f0f67,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,b8876b56b95eba486e40db39b92a5ecea2be455f,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,1c79fd5bff62cd97c8f1c97558469e8aaadba7be,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,64a1a1080f09ef0cc288a89d594eee72042fc512,COMMIT,facebook/react-native,
github:sammy-sc,AUTHOR,authored_commit,c35f3e66966e2dbf7bffe0d9db54d2ac6f385528,COMMIT,facebook/react-native,
github:react-native-bot,AUTHOR,authored_commit,6e38fd7e3f4194b7f3edbf32d2b225579a1f7728,COMMIT,facebook/react-native,
github:etodanik,AUTHOR,authored_commit,8a8f1b801c253a2e582e0d7615b67efe88328ca3,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,3612f537352919b441406ee83f76f32632deeb98,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,4fcd2f9f6d4202c5cd263026c5c7004a02606a9a,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,01629586df9f36a467a1cdbc95c548be66eaaedc,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,7d80d6e5a1d64ca581ec24f589c33ddbddbb506a,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,2be2770fc8b79375ba9ac130b49202627660c72b,COMMIT,facebook/react-native,
github:vzaidman,AUTHOR,authored_commit,dd056d9b4c007f7e67f5ac3ad2c537e635d4a509,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,c336bfa76e23fa058aacd5173229315c65217d22,COMMIT,facebook/react-native,
github:alanleedev,AUTHOR,authored_commit,bbaabe6a16dc0ad5efcdff315ececac7adccaea3,COMMIT,facebook/react-native,
github:andrewdacenko,AUTHOR,authored_commit,37b6c089cb4c0cb2a4f28559fc9d9a74223d4b83,COMMIT,facebook/react-native,
email:c315181156df1fe8c1c948180eccea2fe35b2433f91658364d9ca5473c257dd9,AUTHOR,authored_commit,621592d1f1343e765f46c72d58ceda4dc1f3d5ac,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,29bc8f1acb2cc9a4016c4bdf032f5b53474558bf,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,f71ec1a24eff3a63fd223c24b01ce25eac1631e9,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,d527f2d663a514d5fe778022390c954e0b3e2588,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,c3e11cd05cf67b9b7779e4c63a611628ad159f56,COMMIT,facebook/react-native,
github:fabriziocucci,AUTHOR,authored_commit,3b8455c42e173146e6671e83df7fd3484b1b6ab2,COMMIT,facebook/react-native,
email:0d363d4d436f5e00d7324cd44d42fbfd5e58ae09d07097292aba88d5946ca201,AUTHOR,authored_commit,449e2597ff64d89ffe5cc87f60d693f88bcd0a07,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,6aa99ad8626a99f6abe8cbb63acae1ea39f83ac8,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,41a194196125da31833f1a5bc536efe16b2274b8,COMMIT,facebook/react-native,
github:javache,AUTHOR,authored_commit,6d19a27a3194fa869ec0de9387daa81b51879055,COMMIT,facebook/react-native,
email:37eb2d73a8d1ffde1fd90e0b7ece712f6eb925f17ee09f035a548405c44c38b2,AUTHOR,authored_commit,417725ce1639c3d61f504199523d12837fc52c4e,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,c5cbbde495d9719cd1a46ce2463aea665399b11f,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,1aa7a3235ddd5822dad18e47fe6453bb5dc98c87,COMMIT,facebook/react-native,
github:shubhamksavita,AUTHOR,authored_commit,3aa8a043de283f539cc907c7a5368e61cecb35b9,COMMIT,facebook/react-native,
github:sammy-sc,AUTHOR,authored_commit,c0b10573ee3d3d0fe76ff7d9ab977fd95df4e0c5,COMMIT,facebook/react-native,
github:evanbacon,AUTHOR,authored_commit,75f7e01903fbdf774bb683653d20350af66d61ba,COMMIT,facebook/react-native,
github:react-native-bot,AUTHOR,authored_commit,e583e02ec43b628d91a8ed0d8919537978db464d,COMMIT,facebook/react-native,
